Acciuga;101;PESCE
Aglio;135;VERDURA
Anacardi;598;FRUTTA SECCA
Ananas ;55;FRUTTA
Arachidi;571;FRUTTA SECCA
Aragosta;84;CROSTACEI
Aringa ;146;PESCE
Asparago;20;VERDURA
Astice;81;CROSTACEI
Barbabietola ;43;VERDURA
Bietola ;19;VERDURA
Bresaola;128;CARNE
Brezel ;217;PRODOTTI DA FORNO
Brie;315;LATTICINI E UOVA
Broccoli;27;VERDURA
Burro;754;LATTICINI E UOVA
Camembert;281;LATTICINI E UOVA
Carciofo ;47;VERDURA
Castagne;196;FRUTTA
Cavoletto di Bruxelles ;43;VERDURA
Cavolfiore ;25;VERDURA
Ceci;275;VERDURA
Cheddar ;403;LATTICINI E UOVA
Chicchi di mais;333;CEREALI
Cipolla;28;VERDURA
Cocco;354;FRUTTA
Cocomero;30;FRUTTA
Costina di maiale;277;CARNE
Cotoletta di maiale ;105;CARNE
Cozze;80;MOLLUSCHI
Datteri secchi;273;FRUTTA SECCA
Fagiolini;31;VERDURA
Fagiolini verdi;35;VERDURA
Farina integrale;333;CEREALI
Fegato (carne bovina);121;CARNE
Fettuccine;142;PASTA
Fichi;107;FRUTTA SECCA
Fico;74;FRUTTA
Filetto di merluzzo;73;PESCE
Filetto di scorfano ;111;PESCE
Finocchio;24;VERDURA
Formaggio di Capra;355;LATTICINI E UOVA
Formaggio fresco;253;LATTICINI E UOVA
Farina tipo 00;361;CEREALI
Funghi;22;VERDURA
Gamberi;65;CROSTACEI
Gorgonzola;358;LATTICINI G UOVA
Grana;392;LATTICINI
Kebab ;215;FAST FOOD
Lardo;857;CARNE
Mais ;108;VERDURA
Mandarini;44;FRUTTA
Mandorle;576;FRUTTA SECCA
Melanzana;25;VERDURA
Miele;304;CONDIMENTI
Mirtilli;38;FRUTTA
Mozzarella;254;LATTICINI
Mozzarella di bufala;255;LATTICINI E UOVA
Olio di cocco;895;CONDIMENTI
Olio di semi;884;CONDIMENTI
Olio Extravergine;884;CONDIMENTI
Olio piccante;900;CONDIMENTI
Olive nere in salamoia;351;VERDURE
Olive verdi in salamoia;131;VERDURE
Pancetta affumicata;621;CARNE
Panna ;204;LATTICINI E UOVA
Parmigiano;386;LATTICINI E UOVA
Patatine fritte;299;JUNK FOOD E PRODOTTI DA FORNO
Peperoncino ;40;VERDURA
Pomodoro;17;VERDURA
Porcino secco;124;VERDURA
Porro;26;VERDURA
Prosciutto cotto;193;CARNE
Prosciutto crudo magro;147;CARNE
Provolone;365;LATTICINI E UOVA
Rucola;25;VERDURA
Salame;392;CARNE
Salmone affumicato;117;PESCE
Salsiccia;339;CARNE
Sardina;124;PESCE
Spinaci;23;VERDURA
Spinaci freschi;15;VERDURA
Tartufo;56;VERDURA
Tofu;145;VERDURA
Tonno ;144;PESCE
Topinambur;73;VERDURA
Trota;148;PESCE
Trota affumicata;130;PESCE
Trota di fiume;102;PESCE
Trota salmonata;141;PESCE
Trota ;50;PESCE
Uova;143;LATTICINI
Uva secca;299;FRUTTA SECCA
Vongole;86;PESCE
Würstel ;230;CARNE
Yogurt magro;34;LATTICINI E UOVA
Zenzero;80;FRUTTA
Zucca;25;VERDURA
Zucchina;21;VERDURA
